"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.53","48.57","MALAHAT","1014820","2023-04-14","2023","04","14","","10.1","","1.0","","5.6","","12.4","","0.0","","","","","","0.0","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-15","2023","04","15","","9.3","","4.6","","7.0","","11.0","","0.0","","","","","","0.4","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-16","2023","04","16","","9.1","","1.2","","5.1","","12.9","","0.0","","","","","","2.8","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-17","2023","04","17","","7.6","","0.1","","3.8","","14.2","","0.0","","","","","","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-18","2023","04","18","","8.1","","0.5","","4.3","","13.7","","0.0","","","","","","5.6","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-19","2023","04","19","","7.8","","1.9","","4.8","","13.2","","0.0","","","","","","4.4","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-20","2023","04","20","","6.2","","1.7","","3.9","","14.1","","0.0","","","","","","7.4","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-21","2023","04","21","","8.1","","3.1","","5.6","","12.4","","0.0","","","","","","1.8","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-22","2023","04","22","","9.4","","4.8","","7.1","","10.9","","0.0","","","","","","5.8","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-23","2023","04","23","","8.8","","4.5","","6.6","","11.4","","0.0","","","","","","2.8","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-24","2023","04","24","","11.1","","3.2","","7.1","","10.9","","0.0","","","","","","1.4","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-25","2023","04","25","","12.3","","3.8","","8.0","","10.0","","0.0","","","","","","0.0","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-26","2023","04","26","","14.9","","6.4","","10.7","","7.3","","0.0","","","","","","1.8","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-27","2023","04","27","","16.4","","5.4","","10.9","","7.1","","0.0","","","","","","0.0","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-28","2023","04","28","","20.4","","10.1","","15.3","","2.7","","0.0","","","","","","0.0","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-29","2023","04","29","","22.2","","13.4","","17.8","","0.2","","0.0","","","","","","0.0","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-30","2023","04","30","","14.7","","8.5","","11.6","","6.4","","0.0","","","","","","0.0","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-05-01","2023","05","01","","16.2","","5.6","","10.9","","7.1","","0.0","","","","","","0.0","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-05-02","2023","05","02","","23.8","","8.0","","15.9","","2.1","","0.0","","","","","","0.0","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-05-03","2023","05","03","","20.6","","11.0","","15.8","","2.2","","0.0","","","","","","0.0","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-05-04","2023","05","04","","17.9","","9.3","","13.6","","4.4","","0.0","","","","","","0.2","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-05-05","2023","05","05","","9.4","","7.0","","8.2","","9.8","","0.0","","","","","","12.0","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-05-06","2023","05","06","","14.0","","6.5","","10.2","","7.8","","0.0","","","","","","0.0","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-05-07","2023","05","07","","14.2","","7.3","","10.8","","7.2","","0.0","","","","","","0.6","","","","","M","","M"
